"location_name","joinpoint_model","aapc_index","start_obs","end_obs","aapc","aapc_c_i_low","aapc_c_i_high","statistically_significant_0_no_1_yes","test_statistic","p_value","p_value_label","legend","Year","Value","Label","Measure"
"Côte d'Ivoire",1,"1990.000-1999.000",1990,1999,1.49,"1.22","1.76",1,11.349,0,"***","1990~1999
1.49(1.22~1.76)***","1990~1999","1.49 (1.22~1.76)","Incidence","Number"
"Côte d'Ivoire",1,"1999.000-2009.000",1999,2009,1.49,"1.22","1.76",1,11.349,0,"***","1999~2009
1.49(1.22~1.76)***","1999~2009","1.49 (1.22~1.76)","Incidence","Number"
"Côte d'Ivoire",1,"2009.000-2019.000",2009,2019,1.49,"1.22","1.76",1,11.349,0,"***","2009~2019
1.49(1.22~1.76)***","2009~2019","1.49 (1.22~1.76)","Incidence","Number"
"Côte d'Ivoire",1,"2019.000-2021.000",2019,2021,-46.73,"-55.09","-36.83",1,-7.577,0,"***","2019~2021
-46.73(-55.09~-36.83)***","2019~2021","-46.73 (-55.09~-36.83)","Incidence","Number"
"Côte d'Ivoire",1,"1990.000-2019.000",1990,2019,1.49,"1.22","1.76",1,11.349,0,"***","1990~2019
1.49(1.22~1.76)***","1990~2019","1.49 (1.22~1.76)","Incidence","Number"
"Democratic People's Republic of Korea",5,"Full Range",1990,2021,-14.56,"-15.08","-14.03",1,-50.272,0,"***","1990~2021
-14.56(-15.08~-14.03)***","1990~2021","-14.56 (-15.08~-14.03)","Incidence","Number"
"Democratic People's Republic of Korea",5,"1990.000-1999.000",1990,1999,2.12,"1.74","2.50",1,11.007,0,"***","1990~1999
2.12(1.74~2.50)***","1990~1999","2.12 (1.74~2.50)","Incidence","Number"
"Democratic People's Republic of Korea",5,"1999.000-2009.000",1999,2009,-8.48,"-8.88","-8.08",1,-40.079,0,"***","1999~2009
-8.48(-8.88~-8.08)***","1999~2009","-8.48 (-8.88~-8.08)","Incidence","Number"
"Democratic People's Republic of Korea",5,"2009.000-2019.000",2009,2019,-19.21,"-20.51","-17.90",1,-25.866,0,"***","2009~2019
-19.21(-20.51~-17.90)***","2009~2019","-19.21 (-20.51~-17.90)","Incidence","Number"
"Democratic People's Republic of Korea",5,"2019.000-2021.000",2019,2021,-64.06,"-65.51","-62.55",1,-53.058,0,"***","2019~2021
-64.06(-65.51~-62.55)***","2019~2021","-64.06 (-65.51~-62.55)","Incidence","Number"
"Democratic People's Republic of Korea",5,"1990.000-2019.000",1990,2019,-9.3,"-9.85","-8.75",1,-31.798,0,"***","1990~2019
-9.30(-9.85~-8.75)***","1990~2019","-9.30 (-9.85~-8.75)","Incidence","Number"
"Democratic Republic of the Congo",5,"Full Range",1990,2021,1.41,"1.16","1.66",1,11,0,"***","1990~2021
1.41(1.16~1.66)***","1990~2021","1.41 (1.16~1.66)","Incidence","Number"
"Democratic Republic of the Congo",5,"1990.000-1999.000",1990,1999,4.7,"4.53","4.88",1,58.282,0,"***","1990~1999
4.70(4.53~4.88)***","1990~1999","4.70 (4.53~4.88)","Incidence","Number"
"Democratic Republic of the Congo",5,"1999.000-2009.000",1999,2009,-2.29,"-2.68","-1.89",1,-11.112,0,"***","1999~2009
-2.29(-2.68~-1.89)***","1999~2009","-2.29 (-2.68~-1.89)","Incidence","Number"
"Democratic Republic of the Congo",5,"2009.000-2019.000",2009,2019,5.55,"4.98","6.13",1,19.403,0,"***","2009~2019
5.55(4.98~6.13)***","2009~2019","5.55 (4.98~6.13)","Incidence","Number"
"Democratic Republic of the Congo",5,"2019.000-2021.000",2019,2021,-13.45,"-15.02","-11.84",1,-16.718,0,"***","2019~2021
-13.45(-15.02~-11.84)***","2019~2021","-13.45 (-15.02~-11.84)","Incidence","Number"
"Democratic Republic of the Congo",5,"1990.000-2019.000",1990,2019,2.52,"2.28","2.77",1,20.374,0,"***","1990~2019
2.52(2.28~2.77)***","1990~2019","2.52 (2.28~2.77)","Incidence","Number"
"Denmark",3,"Full Range",1990,2021,-13.42,"-16.89","-9.82",1,-6.922,0,"***","1990~2021
-13.42(-16.89~-9.82)***","1990~2021","-13.42 (-16.89~-9.82)","Incidence","Number"
"Denmark",3,"1990.000-1999.000",1990,1999,-5.51,"-7.70","-3.27",1,-5.022,0,"***","1990~1999
-5.51(-7.70~-3.27)***","1990~1999","-5.51 (-7.70~-3.27)","Incidence","Number"
"Denmark",3,"1999.000-2009.000",1999,2009,2.03,"-3.32","7.68",0,0.73,0.465,"","1999~2009
2.03(-3.32~7.68)","1999~2009","2.03 (-3.32~7.68)","Incidence","Number"
"Denmark",3,"2009.000-2019.000",2009,2019,-3.39,"-7.87","1.31",0,-1.423,0.155,"","2009~2019
-3.39(-7.87~1.31)","2009~2019","-3.39 (-7.87~1.31)","Incidence","Number"
"Denmark",3,"2019.000-2021.000",2019,2021,-85.15,"-91.00","-75.50",1,-7.924,0,"***","2019~2021
-85.15(-91.00~-75.50)***","2019~2021","-85.15 (-91.00~-75.50)","Incidence","Number"
"Denmark",3,"1990.000-2019.000",1990,2019,-2.23,"-5.03","0.65",0,-1.521,0.128,"","1990~2019
-2.23(-5.03~0.65)","1990~2019","-2.23 (-5.03~0.65)","Incidence","Number"
"Djibouti",3,"Full Range",1990,2021,3.27,"0.90","5.68",1,2.723,0.006,"**","1990~2021
3.27(0.90~5.68)**","1990~2021","3.27 (0.90~5.68)","Incidence","Number"
"Djibouti",3,"1990.000-1999.000",1990,1999,8.05,"5.98","10.17",1,8.305,0,"***","1990~1999
8.05(5.98~10.17)***","1990~1999","8.05 (5.98~10.17)","Incidence","Number"
"Djibouti",3,"1999.000-2009.000",1999,2009,3.66,"-0.60","8.10",0,1.681,0.093,"","1999~2009
3.66(-0.60~8.10)","1999~2009","3.66 (-0.60~8.10)","Incidence","Number"
"Djibouti",3,"2009.000-2019.000",2009,2019,5.19,"2.11","8.36",1,3.334,0.001,"**","2009~2019
5.19(2.11~8.36)**","2009~2019","5.19 (2.11~8.36)","Incidence","Number"
"Djibouti",3,"2019.000-2021.000",2019,2021,-24.64,"-36.04","-11.21",1,-3.587,0.002,"**","2019~2021
-24.64(-36.04~-11.21)**","2019~2021","-24.64 (-36.04~-11.21)","Incidence","Number"
"Djibouti",3,"1990.000-2019.000",1990,2019,5.54,"3.48","7.63",1,5.383,0,"***","1990~2019
5.54(3.48~7.63)***","1990~2019","5.54 (3.48~7.63)","Incidence","Number"
"Dominica",1,"Full Range",1990,2021,-12.93,"-15.75","-10.01",1,-8.232,0,"***","1990~2021
-12.93(-15.75~-10.01)***","1990~2021","-12.93 (-15.75~-10.01)","Incidence","Number"
"Dominica",1,"1990.000-1999.000",1990,1999,0.16,"-0.66","0.98",0,0.398,0.694,"","1990~1999
0.16(-0.66~0.98)","1990~1999","0.16 (-0.66~0.98)","Incidence","Number"
"Dominica",1,"1999.000-2009.000",1999,2009,0.16,"-0.66","0.98",0,0.398,0.694,"","1999~2009
0.16(-0.66~0.98)","1999~2009","0.16 (-0.66~0.98)","Incidence","Number"
"Dominica",1,"2009.000-2019.000",2009,2019,0.16,"-0.66","0.98",0,0.398,0.694,"","2009~2019
0.16(-0.66~0.98)","2009~2019","0.16 (-0.66~0.98)","Incidence","Number"
"Dominica",1,"2019.000-2021.000",2019,2021,-88.56,"-93.21","-80.74",1,-8.533,0,"***","2019~2021
-88.56(-93.21~-80.74)***","2019~2021","-88.56 (-93.21~-80.74)","Incidence","Number"
"Dominica",1,"1990.000-2019.000",1990,2019,0.16,"-0.66","0.98",0,0.398,0.694,"","1990~2019
0.16(-0.66~0.98)","1990~2019","0.16 (-0.66~0.98)","Incidence","Number"
"Dominican Republic",1,"Full Range",1990,2021,-12.46,"-13.46","-11.45",1,-22.755,0,"***","1990~2021
-12.46(-13.46~-11.45)***","1990~2021","-12.46 (-13.46~-11.45)","Incidence","Number"
"Dominican Republic",1,"1990.000-1999.000",1990,1999,1.3,"1.01","1.59",1,9.31,0,"***","1990~1999
1.30(1.01~1.59)***","1990~1999","1.30 (1.01~1.59)","Incidence","Number"
"Dominican Republic",1,"1999.000-2009.000",1999,2009,1.3,"1.01","1.59",1,9.31,0,"***","1999~2009
1.30(1.01~1.59)***","1999~2009","1.30 (1.01~1.59)","Incidence","Number"
"Dominican Republic",1,"2009.000-2019.000",2009,2019,1.3,"1.01","1.59",1,9.31,0,"***","2009~2019
1.30(1.01~1.59)***","2009~2019","1.30 (1.01~1.59)","Incidence","Number"
"Dominican Republic",1,"2019.000-2021.000",2019,2021,-89.45,"-91.20","-87.36",1,-25.455,0,"***","2019~2021
-89.45(-91.20~-87.36)***","2019~2021","-89.45 (-91.20~-87.36)","Incidence","Number"
"Dominican Republic",1,"1990.000-2019.000",1990,2019,1.3,"1.01","1.59",1,9.31,0,"***","1990~2019
1.30(1.01~1.59)***","1990~2019","1.30 (1.01~1.59)","Incidence","Number"
"Ecuador",4,"Full Range",1990,2021,-3.46,"-4.41","-2.49",1,-6.938,0,"***","1990~2021
-3.46(-4.41~-2.49)***","1990~2021","-3.46 (-4.41~-2.49)","Incidence","Number"
"Ecuador",4,"1990.000-1999.000",1990,1999,-2.04,"-3.54","-0.52",1,-2.629,0.009,"**","1990~1999
-2.04(-3.54~-0.52)**","1990~1999","-2.04 (-3.54~-0.52)","Incidence","Number"
"Ecuador",4,"1999.000-2009.000",1999,2009,-1.99,"-2.95","-1.02",1,-3.987,0,"***","1999~2009
-1.99(-2.95~-1.02)***","1999~2009","-1.99 (-2.95~-1.02)","Incidence","Number"
"Ecuador",4,"2009.000-2019.000",2009,2019,10.32,"9.05","11.60",1,16.683,0,"***","2009~2019
10.32(9.05~11.60)***","2009~2019","10.32 (9.05~11.60)","Incidence","Number"
"Ecuador",4,"2019.000-2021.000",2019,2021,-56.97,"-61.47","-51.95",1,-16.064,0,"***","2019~2021
-56.97(-61.47~-51.95)***","2019~2021","-56.97 (-61.47~-51.95)","Incidence","Number"
"Ecuador",4,"1990.000-2019.000",1990,2019,2.07,"1.27","2.88",1,5.084,0,"***","1990~2019
2.07(1.27~2.88)***","1990~2019","2.07 (1.27~2.88)","Incidence","Number"
"Egypt",2,"Full Range",1990,2021,-5.51,"-6.53","-4.49",1,-10.262,0,"***","1990~2021
-5.51(-6.53~-4.49)***","1990~2021","-5.51 (-6.53~-4.49)","Incidence","Number"
"Egypt",2,"1990.000-1999.000",1990,1999,-6.09,"-6.48","-5.69",1,-30.67,0,"***","1990~1999
-6.09(-6.48~-5.69)***","1990~1999","-6.09 (-6.48~-5.69)","Incidence","Number"
"Egypt",2,"1999.000-2009.000",1999,2009,-6.09,"-6.48","-5.69",1,-30.67,0,"***","1999~2009
-6.09(-6.48~-5.69)***","1999~2009","-6.09 (-6.48~-5.69)","Incidence","Number"
"Egypt",2,"2009.000-2019.000",2009,2019,9.83,"8.26","11.42",1,12.778,0,"***","2009~2019
9.83(8.26~11.42)***","2009~2019","9.83 (8.26~11.42)","Incidence","Number"
"Egypt",2,"2019.000-2021.000",2019,2021,-52.83,"-59.57","-44.97",1,-10.061,0,"***","2019~2021
-52.83(-59.57~-44.97)***","2019~2021","-52.83 (-59.57~-44.97)","Incidence","Number"
"Egypt",2,"1990.000-2019.000",1990,2019,-0.88,"-1.44","-0.31",1,-3.046,0.002,"**","1990~2019
-0.88(-1.44~-0.31)**","1990~2019","-0.88 (-1.44~-0.31)","Incidence","Number"
"El Salvador",2,"Full Range",1990,2021,-13.47,"-15.20","-11.71",1,-14.08,0,"***","1990~2021
-13.47(-15.20~-11.71)***","1990~2021","-13.47 (-15.20~-11.71)","Incidence","Number"
"El Salvador",2,"1990.000-1999.000",1990,1999,-6.03,"-6.76","-5.29",1,-16.324,0,"***","1990~1999
-6.03(-6.76~-5.29)***","1990~1999","-6.03 (-6.76~-5.29)","Incidence","Number"
"El Salvador",2,"1999.000-2009.000",1999,2009,-6.03,"-6.76","-5.29",1,-16.324,0,"***","1999~2009
-6.03(-6.76~-5.29)***","1999~2009","-6.03 (-6.76~-5.29)","Incidence","Number"
"El Salvador",2,"2009.000-2019.000",2009,2019,7.85,"5.00","10.77",1,5.539,0,"***","2009~2019
7.85(5.00~10.77)***","2009~2019","7.85 (5.00~10.77)","Incidence","Number"
"El Salvador",2,"2019.000-2021.000",2019,2021,-86.87,"-90.14","-82.52",1,-14.622,0,"***","2019~2021
-86.87(-90.14~-82.52)***","2019~2021","-86.87 (-90.14~-82.52)","Incidence","Number"
"El Salvador",2,"1990.000-2019.000",1990,2019,-1.46,"-2.49","-0.41",1,-2.723,0.006,"**","1990~2019
-1.46(-2.49~-0.41)**","1990~2019","-1.46 (-2.49~-0.41)","Incidence","Number"
"Equatorial Guinea",4,"Full Range",1990,2021,2.02,"1.72","2.33",1,13.029,0,"***","1990~2021
2.02(1.72~2.33)***","1990~2021","2.02 (1.72~2.33)","Incidence","Number"
"Equatorial Guinea",4,"1990.000-1999.000",1990,1999,1.16,"0.93","1.39",1,9.894,0,"***","1990~1999
1.16(0.93~1.39)***","1990~1999","1.16 (0.93~1.39)","Incidence","Number"
"Equatorial Guinea",4,"1999.000-2009.000",1999,2009,3.74,"3.62","3.85",1,70.341,0,"***","1999~2009
3.74(3.62~3.85)***","1999~2009","3.74 (3.62~3.85)","Incidence","Number"
"Equatorial Guinea",4,"2009.000-2019.000",2009,2019,5.9,"5.07","6.73",1,14.263,0,"***","2009~2019
5.90(5.07~6.73)***","2009~2019","5.90 (5.07~6.73)","Incidence","Number"
"Equatorial Guinea",4,"2019.000-2021.000",2019,2021,-19.02,"-20.89","-17.10",1,-18.951,0,"***","2019~2021
-19.02(-20.89~-17.10)***","2019~2021","-19.02 (-20.89~-17.10)","Incidence","Number"
"Equatorial Guinea",4,"1990.000-2019.000",1990,2019,3.66,"3.37","3.96",1,24.73,0,"***","1990~2019
3.66(3.37~3.96)***","1990~2019","3.66 (3.37~3.96)","Incidence","Number"
"Eritrea",3,"Full Range",1990,2021,-5.72,"-7.58","-3.82",1,-5.787,0,"***","1990~2021
-5.72(-7.58~-3.82)***","1990~2021","-5.72 (-7.58~-3.82)","Incidence","Number"
"Eritrea",3,"1990.000-1999.000",1990,1999,-9.6,"-11.58","-7.57",1,-9.467,0,"***","1990~1999
-9.60(-11.58~-7.57)***","1990~1999","-9.60 (-11.58~-7.57)","Incidence","Number"
"Eritrea",3,"1999.000-2009.000",1999,2009,-9.68,"-12.91","-6.33",1,-5.473,0,"***","1999~2009
-9.68(-12.91~-6.33)***","1999~2009","-9.68 (-12.91~-6.33)","Incidence","Number"
"Eritrea",3,"2009.000-2019.000",2009,2019,5.99,"3.78","8.25",1,5.408,0,"***","2009~2019
5.99(3.78~8.25)***","2009~2019","5.99 (3.78~8.25)","Incidence","Number"
"Eritrea",3,"2019.000-2021.000",2019,2021,-21.39,"-31.82","-9.37",1,-3.516,0.002,"**","2019~2021
-21.39(-31.82~-9.37)**","2019~2021","-21.39 (-31.82~-9.37)","Incidence","Number"
"Eritrea",3,"1990.000-2019.000",1990,2019,-4.53,"-6.12","-2.91",1,-5.397,0,"***","1990~2019
-4.53(-6.12~-2.91)***","1990~2019","-4.53 (-6.12~-2.91)","Incidence","Number"
"Estonia",3,"Full Range",1990,2021,-14.47,"-15.33","-13.61",1,-30.393,0,"***","1990~2021
-14.47(-15.33~-13.61)***","1990~2021","-14.47 (-15.33~-13.61)","Incidence","Number"
"Estonia",3,"1990.000-1999.000",1990,1999,-6.48,"-8.30","-4.63",1,-6.69,0,"***","1990~1999
-6.48(-8.30~-4.63)***","1990~1999","-6.48 (-8.30~-4.63)","Incidence","Number"
"Estonia",3,"1999.000-2009.000",1999,2009,-7.5,"-7.98","-7.03",1,-29.61,0,"***","1999~2009
-7.50(-7.98~-7.03)***","1999~2009","-7.50 (-7.98~-7.03)","Incidence","Number"
"Estonia",3,"2009.000-2019.000",2009,2019,2.62,"1.89","3.36",1,7.483,0,"***","2009~2019
2.62(1.89~3.36)***","2009~2019","2.62 (1.89~3.36)","Incidence","Number"
"Estonia",3,"2019.000-2021.000",2019,2021,-84.45,"-86.23","-82.44",1,-31.817,0,"***","2019~2021
-84.45(-86.23~-82.44)***","2019~2021","-84.45 (-86.23~-82.44)","Incidence","Number"
"Estonia",3,"1990.000-2019.000",1990,2019,-3.8,"-4.50","-3.10",1,-10.376,0,"***","1990~2019
-3.80(-4.50~-3.10)***","1990~2019","-3.80 (-4.50~-3.10)","Incidence","Number"
"Eswatini",1,"Full Range",1990,2021,-5.33,"-7.14","-3.50",1,-5.586,0,"***","1990~2021
-5.33(-7.14~-3.50)***","1990~2021","-5.33 (-7.14~-3.50)","Incidence","Number"
"Eswatini",1,"1990.000-1999.000",1990,1999,0.69,"0.21","1.17",1,2.957,0.006,"**","1990~1999
0.69(0.21~1.17)**","1990~1999","0.69 (0.21~1.17)","Incidence","Number"
"Eswatini",1,"1999.000-2009.000",1999,2009,0.69,"0.21","1.17",1,2.957,0.006,"**","1999~2009
0.69(0.21~1.17)**","1999~2009","0.69 (0.21~1.17)","Incidence","Number"
"Eswatini",1,"2009.000-2019.000",2009,2019,0.69,"0.21","1.17",1,2.957,0.006,"**","2009~2019
0.69(0.21~1.17)**","2009~2019","0.69 (0.21~1.17)","Incidence","Number"
"Eswatini",1,"2019.000-2021.000",2019,2021,-61.3,"-71.45","-47.53",1,-6.402,0,"***","2019~2021
-61.30(-71.45~-47.53)***","2019~2021","-61.30 (-71.45~-47.53)","Incidence","Number"
"Eswatini",1,"1990.000-2019.000",1990,2019,0.69,"0.21","1.17",1,2.957,0.006,"**","1990~2019
0.69(0.21~1.17)**","1990~2019","0.69 (0.21~1.17)","Incidence","Number"
"Ethiopia",2,"Full Range",1990,2021,-1.23,"-1.93","-0.53",1,-3.439,0.001,"**","1990~2021
-1.23(-1.93~-0.53)**","1990~2021","-1.23 (-1.93~-0.53)","Incidence","Number"
"Ethiopia",2,"1990.000-1999.000",1990,1999,2.54,"2.09","2.99",1,11.81,0,"***","1990~1999
2.54(2.09~2.99)***","1990~1999","2.54 (2.09~2.99)","Incidence","Number"
"Ethiopia",2,"1999.000-2009.000",1999,2009,1.04,"0.71","1.37",1,6.261,0,"***","1999~2009
1.04(0.71~1.37)***","1999~2009","1.04 (0.71~1.37)","Incidence","Number"
"Ethiopia",2,"2009.000-2019.000",2009,2019,-1.17,"-1.71","-0.63",1,-4.457,0,"***","2009~2019
-1.17(-1.71~-0.63)***","2009~2019","-1.17 (-1.71~-0.63)","Incidence","Number"
"Ethiopia",2,"2019.000-2021.000",2019,2021,-25.8,"-33.12","-17.68",1,-5.929,0,"***","2019~2021
-25.80(-33.12~-17.68)***","2019~2021","-25.80 (-33.12~-17.68)","Incidence","Number"
"Ethiopia",2,"1990.000-2019.000",1990,2019,0.73,"0.40","1.07",1,4.347,0,"***","1990~2019
0.73(0.40~1.07)***","1990~2019","0.73 (0.40~1.07)","Incidence","Number"
"Fiji",3,"Full Range",1990,2021,-11.13,"-14.44","-7.69",1,-6.087,0,"***","1990~2021
-11.13(-14.44~-7.69)***","1990~2021","-11.13 (-14.44~-7.69)","Incidence","Number"
"Fiji",3,"1990.000-1999.000",1990,1999,-3.31,"-8.79","2.50",0,-1.131,0.258,"","1990~1999
-3.31(-8.79~2.50)","1990~1999","-3.31 (-8.79~2.50)","Incidence","Number"
"Fiji",3,"1999.000-2009.000",1999,2009,7.32,"4.71","10.01",1,5.609,0,"***","1999~2009
7.32(4.71~10.01)***","1999~2009","7.32 (4.71~10.01)","Incidence","Number"
"Fiji",3,"2009.000-2019.000",2009,2019,-14.63,"-17.80","-11.33",1,-8.67,0,"***","2009~2019
-14.63(-17.80~-11.33)***","2009~2019","-14.63 (-17.80~-11.33)","Incidence","Number"
"Fiji",3,"2019.000-2021.000",2019,2021,-71.05,"-82.22","-52.88",1,-5.291,0,"***","2019~2021
-71.05(-82.22~-52.88)***","2019~2021","-71.05 (-82.22~-52.88)","Incidence","Number"
"Fiji",3,"1990.000-2019.000",1990,2019,-3.98,"-6.39","-1.51",1,-3.132,0.002,"**","1990~2019
-3.98(-6.39~-1.51)**","1990~2019","-3.98 (-6.39~-1.51)","Incidence","Number"
"Finland",3,"Full Range",1990,2021,-7.65,"-10.09","-5.14",1,-5.811,0,"***","1990~2021
-7.65(-10.09~-5.14)***","1990~2021","-7.65 (-10.09~-5.14)","Incidence","Number"
"Finland",3,"1990.000-1999.000",1990,1999,-10.88,"-13.54","-8.12",1,-7.419,0,"***","1990~1999
-10.88(-13.54~-8.12)***","1990~1999","-10.88 (-13.54~-8.12)","Incidence","Number"
"Finland",3,"1999.000-2009.000",1999,2009,0.08,"-1.47","1.65",0,0.108,0.915,"","1999~2009
0.08(-1.47~1.65)","1999~2009","0.08 (-1.47~1.65)","Incidence","Number"
"Finland",3,"2009.000-2019.000",2009,2019,14.31,"9.56","19.26",1,6.177,0,"***","2009~2019
14.31(9.56~19.26)***","2009~2019","14.31 (9.56~19.26)","Incidence","Number"
"Finland",3,"2019.000-2021.000",2019,2021,-75.04,"-82.09","-65.20",1,-8.685,0,"***","2019~2021
-75.04(-82.09~-65.20)***","2019~2021","-75.04 (-82.09~-65.20)","Incidence","Number"
"Finland",3,"1990.000-2019.000",1990,2019,1.07,"-0.82","3.00",0,1.106,0.269,"","1990~2019
1.07(-0.82~3.00)","1990~2019","1.07 (-0.82~3.00)","Incidence","Number"
"France",2,"Full Range",1990,2021,-9.12,"-10.36","-7.86",1,-13.614,0,"***","1990~2021
-9.12(-10.36~-7.86)***","1990~2021","-9.12 (-10.36~-7.86)","Incidence","Number"
"France",2,"1990.000-1999.000",1990,1999,-6.74,"-7.16","-6.32",1,-32.111,0,"***","1990~1999
-6.74(-7.16~-6.32)***","1990~1999","-6.74 (-7.16~-6.32)","Incidence","Number"
"France",2,"1999.000-2009.000",1999,2009,-6.74,"-7.16","-6.32",1,-32.111,0,"***","1999~2009
-6.74(-7.16~-6.32)***","1999~2009","-6.74 (-7.16~-6.32)","Incidence","Number"
"France",2,"2009.000-2019.000",2009,2019,8.46,"6.18","10.79",1,7.494,0,"***","2009~2019
8.46(6.18~10.79)***","2009~2019","8.46 (6.18~10.79)","Incidence","Number"
"France",2,"2019.000-2021.000",2019,2021,-70.64,"-75.69","-64.55",1,-13.406,0,"***","2019~2021
-70.64(-75.69~-64.55)***","2019~2021","-70.64 (-75.69~-64.55)","Incidence","Number"
"France",2,"1990.000-2019.000",1990,2019,-1.75,"-2.54","-0.97",1,-4.34,0,"***","1990~2019
-1.75(-2.54~-0.97)***","1990~2019","-1.75 (-2.54~-0.97)","Incidence","Number"
"Gabon",5,"Full Range",1990,2021,0.82,"0.19","1.47",1,2.547,0.011,"*","1990~2021
0.82(0.19~1.47)*","1990~2021","0.82 (0.19~1.47)","Incidence","Number"
"Gabon",5,"1990.000-1999.000",1990,1999,5.51,"4.68","6.34",1,13.36,0,"***","1990~1999
5.51(4.68~6.34)***","1990~1999","5.51 (4.68~6.34)","Incidence","Number"
"Gabon",5,"1999.000-2009.000",1999,2009,2.44,"1.40","3.49",1,4.62,0,"***","1999~2009
2.44(1.40~3.49)***","1999~2009","2.44 (1.40~3.49)","Incidence","Number"
"Gabon",5,"2009.000-2019.000",2009,2019,-1.05,"-2.08","-0.02",1,-1.991,0.046,"*","2009~2019
-1.05(-2.08~-0.02)*","2009~2019","-1.05 (-2.08~-0.02)","Incidence","Number"
"Gabon",5,"2019.000-2021.000",2019,2021,-16.59,"-20.95","-11.98",1,-7.186,0,"***","2019~2021
-16.59(-20.95~-11.98)***","2019~2021","-16.59 (-20.95~-11.98)","Incidence","Number"
"Gabon",5,"1990.000-2019.000",1990,2019,2.15,"1.56","2.75",1,7.151,0,"***","1990~2019
2.15(1.56~2.75)***","1990~2019","2.15 (1.56~2.75)","Incidence","Number"
"Gambia",5,"Full Range",1990,2021,-1.08,"-1.42","-0.73",1,-6.047,0,"***","1990~2021
-1.08(-1.42~-0.73)***","1990~2021","-1.08 (-1.42~-0.73)","Incidence","Number"
"Gambia",5,"1990.000-1999.000",1990,1999,5.34,"4.74","5.94",1,17.966,0,"***","1990~1999
5.34(4.74~5.94)***","1990~1999","5.34 (4.74~5.94)","Incidence","Number"
"Gambia",5,"1999.000-2009.000",1999,2009,-2.91,"-3.27","-2.54",1,-15.367,0,"***","1999~2009
-2.91(-3.27~-2.54)***","1999~2009","-2.91 (-3.27~-2.54)","Incidence","Number"
"Gambia",5,"2009.000-2019.000",2009,2019,3.12,"2.55","3.69",1,10.871,0,"***","2009~2019
3.12(2.55~3.69)***","2009~2019","3.12 (2.55~3.69)","Incidence","Number"
"Gambia",5,"2019.000-2021.000",2019,2021,-33.48,"-35.62","-31.27",1,-26.608,0,"***","2019~2021
-33.48(-35.62~-31.27)***","2019~2021","-33.48 (-35.62~-31.27)","Incidence","Number"
"Gambia",5,"1990.000-2019.000",1990,2019,1.67,"1.35","1.99",1,10.392,0,"***","1990~2019
1.67(1.35~1.99)***","1990~2019","1.67 (1.35~1.99)","Incidence","Number"
"Georgia",1,"Full Range",1990,2021,-14.27,"-16.23","-12.27",1,-13.085,0,"***","1990~2021
-14.27(-16.23~-12.27)***","1990~2021","-14.27 (-16.23~-12.27)","Incidence","Number"
"Georgia",1,"1990.000-1999.000",1990,1999,-3.49,"-4.04","-2.93",1,-12.708,0,"***","1990~1999
-3.49(-4.04~-2.93)***","1990~1999","-3.49 (-4.04~-2.93)","Incidence","Number"
"Georgia",1,"1999.000-2009.000",1999,2009,-3.49,"-4.04","-2.93",1,-12.708,0,"***","1999~2009
-3.49(-4.04~-2.93)***","1999~2009","-3.49 (-4.04~-2.93)","Incidence","Number"
"Georgia",1,"2009.000-2019.000",2009,2019,-3.49,"-4.04","-2.93",1,-12.708,0,"***","2009~2019
-3.49(-4.04~-2.93)***","2009~2019","-3.49 (-4.04~-2.93)","Incidence","Number"
"Georgia",1,"2019.000-2021.000",2019,2021,-84.63,"-89.33","-77.86",1,-10.527,0,"***","2019~2021
-84.63(-89.33~-77.86)***","2019~2021","-84.63 (-89.33~-77.86)","Incidence","Number"
"Georgia",1,"1990.000-2019.000",1990,2019,-3.49,"-4.04","-2.93",1,-12.708,0,"***","1990~2019
-3.49(-4.04~-2.93)***","1990~2019","-3.49 (-4.04~-2.93)","Incidence","Number"
"Germany",2,"Full Range",1990,2021,-16.43,"-19.65","-13.09",1,-8.957,0,"***","1990~2021
-16.43(-19.65~-13.09)***","1990~2021","-16.43 (-19.65~-13.09)","Incidence","Number"
"Germany",2,"1990.000-1999.000",1990,1999,-10.2,"-12.16","-8.20",1,-10.067,0,"***","1990~1999
-10.20(-12.16~-8.20)***","1990~1999","-10.20 (-12.16~-8.20)","Incidence","Number"
"Germany",2,"1999.000-2009.000",1999,2009,-6.99,"-8.61","-5.34",1,-8.082,0,"***","1999~2009
-6.99(-8.61~-5.34)***","1999~2009","-6.99 (-8.61~-5.34)","Incidence","Number"
"Germany",2,"2009.000-2019.000",2009,2019,0.95,"-2.42","4.45",0,0.575,0.571,"","2009~2019
0.95(-2.42~4.45)","2009~2019","0.95 (-2.42~4.45)","Incidence","Number"
"Germany",2,"2019.000-2021.000",2019,2021,-86.24,"-92.26","-75.54",1,-7.114,0,"***","2019~2021
-86.24(-92.26~-75.54)***","2019~2021","-86.24 (-92.26~-75.54)","Incidence","Number"
"Germany",2,"1990.000-2019.000",1990,2019,-5.36,"-7.10","-3.59",1,-5.831,0,"***","1990~2019
-5.36(-7.10~-3.59)***","1990~2019","-5.36 (-7.10~-3.59)","Incidence","Number"
"Ghana",4,"Full Range",1990,2021,-4.3,"-4.48","-4.13",1,-47.018,0,"***","1990~2021
-4.30(-4.48~-4.13)***","1990~2021","-4.30 (-4.48~-4.13)","Incidence","Number"
